"Date","Price","Open","High","Low","Change %"
"01-02-2026","5.646","5.690","5.710","5.630","-0.84%"
"01-01-2026","5.694","5.680","5.790","5.620","2.06%"
"01-12-2025","5.579","5.400","5.650","5.400","2.09%"
"01-11-2025","5.465","5.470","5.550","5.440","-2.69%"
"01-10-2025","5.616","5.580","5.650","5.410","0.68%"
"01-09-2025","5.578","5.670","5.690","5.520","-1.55%"
"01-08-2025","5.666","5.520","5.650","5.480","1.65%"
"01-07-2025","5.574","5.500","5.610","5.420","0.18%"
"01-06-2025","5.564","5.600","5.600","5.330","-1.52%"
"01-05-2025","5.650","5.880","5.880","5.520","-4.30%"
"01-04-2025","5.904","6.340","6.340","5.860","-7.17%"
"01-03-2025","6.360","6.510","6.550","6.340","-2.00%"
"01-02-2025","6.490","6.580","6.580","6.360","-0.61%"
"01-01-2025","6.530","6.640","6.740","6.470","-1.51%"
"01-12-2024","6.630","6.695","6.836","6.614","-1.27%"
"01-11-2024","6.715","6.747","6.819","6.675","1.57%"
"01-10-2024","6.611","6.713","6.745","6.542","-0.06%"
"01-09-2024","6.615","6.744","6.936","6.612","-1.90%"
"01-08-2024","6.743","6.835","6.924","6.717","-1.40%"
"01-07-2024","6.839","6.958","7.015","6.813","-1.40%"
"01-06-2024","6.936","7.017","7.059","6.936","-0.04%"
"01-05-2024","6.939","7.107","7.107","6.939","-1.70%"
"01-04-2024","7.059","7.066","7.150","6.941","1.20%"
"01-03-2024","6.975","7.010","7.152","6.975","-0.88%"
"01-02-2024","7.037","7.051","7.223","6.955","-0.83%"
"01-01-2024","7.096","7.109","7.189","7.059","-0.20%"
"01-12-2023","7.110","7.202","7.268","7.069","-1.61%"
"01-11-2023","7.226","7.229","7.229","7.056","-1.43%"
"01-10-2023","7.331","7.127","7.482","7.099","5.10%"
"01-09-2023","6.975","7.076","7.197","6.975","-0.40%"
"01-08-2023","7.003","6.970","7.215","6.889","1.54%"
"01-07-2023","6.897","6.838","7.142","6.796","0.60%"
"01-06-2023","6.856","6.880","7.000","6.764","1.21%"
"01-05-2023","6.774","7.136","7.136","6.774","-1.90%"
"01-04-2023","6.905","7.179","7.179","6.897","-3.26%"
"01-03-2023","7.138","7.326","7.475","7.138","-2.21%"
"01-02-2023","7.299","7.018","7.385","6.874","7.80%"
"01-01-2023","6.771","6.752","6.942","6.646","0.39%"
"01-12-2022","6.745","6.731","6.921","6.694","-0.18%"
"01-11-2022","6.757","7.000","7.042","6.677","-0.84%"
"01-10-2022","6.814","7.032","7.271","6.696","1.70%"
"01-09-2022","6.700","6.407","7.072","6.252","5.63%"
"01-08-2022","6.343","6.383","6.578","6.160","-0.06%"
"01-07-2022","6.347","6.410","6.611","6.189","2.26%"
"01-06-2022","6.207","6.086","6.392","6.061","3.23%"
"01-05-2022","6.013","5.020","6.083","5.009","24.91%"
"01-04-2022","4.814","4.797","5.330","4.607","11.41%"
"01-03-2022","4.321","4.522","4.693","4.321","-1.28%"
"01-02-2022","4.377","4.513","4.726","4.316","-2.43%"
"01-01-2022","4.486","4.445","4.639","4.323","2.72%"
"01-12-2021","4.367","4.320","4.800","4.140","2.54%"
"01-11-2021","4.259","4.531","4.564","3.999","3.70%"
"01-10-2021","4.107","4.117","4.422","3.849","2.01%"
"01-09-2021","4.026","3.881","4.259","3.818","4.60%"
"01-08-2021","3.849","3.996","4.256","3.831","-4.75%"
"01-07-2021","4.041","4.146","4.201","3.811","-1.20%"
"01-06-2021","4.090","3.922","4.123","3.822","8.63%"
"01-05-2021","3.765","3.804","4.030","3.671","-1.41%"
"01-04-2021","3.819","4.133","4.208","3.818","-2.73%"
"01-03-2021","3.926","4.105","4.483","3.921","-3.56%"
"01-02-2021","4.071","4.116","4.389","3.955","4.28%"
"01-01-2021","3.904","3.708","4.352","3.647","3.77%"
"01-12-2020","3.762","3.687","4.193","3.666","12.97%"
"01-11-2020","3.330","3.664","3.664","3.313","-4.12%"
"01-10-2020","3.473","3.713","3.726","3.429","-6.34%"
"01-09-2020","3.708","3.803","3.923","3.507","-0.88%"
"01-08-2020","3.741","3.685","3.861","3.346","2.21%"
"01-07-2020","3.660","3.755","3.834","3.567","-1.93%"
"01-06-2020","3.732","3.652","4.150","3.605","3.12%"
"01-05-2020","3.619","4.176","4.176","3.550","-7.98%"
"01-04-2020","3.933","4.791","4.894","3.839","-19.69%"
"01-03-2020","4.897","5.196","5.463","4.630","-6.47%"
"01-02-2020","5.236","5.441","5.511","5.236","-3.66%"
"01-01-2020","5.435","5.597","5.646","5.422","-2.28%"
"01-12-2019","5.562","5.362","5.853","5.326","4.53%"
"01-11-2019","5.321","5.537","5.617","5.135","-2.88%"
"01-10-2019","5.479","5.918","5.918","5.479","-4.93%"
"01-09-2019","5.763","5.766","5.892","5.668","-0.10%"
"01-08-2019","5.769","6.096","6.096","5.723","-2.17%"
"01-07-2019","5.897","6.362","6.362","5.890","-4.72%"
"01-06-2019","6.189","6.194","6.321","6.063","-1.09%"
"01-05-2019","6.257","6.587","6.642","6.257","-4.69%"
"01-04-2019","6.565","6.545","6.646","6.390","2.07%"
"01-03-2019","6.432","6.575","6.645","6.432","-2.03%"
"01-02-2019","6.565","6.786","6.960","6.521","-2.54%"
"01-01-2019","6.736","6.931","6.978","6.736","-1.14%"
"01-12-2018","6.814","7.298","7.437","6.812","-5.02%"
"01-11-2018","7.174","7.449","7.534","7.119","-4.13%"
"01-10-2018","7.483","7.837","8.293","7.444","-3.48%"
"01-09-2018","7.753","7.588","8.032","7.588","5.61%"
"01-08-2018","7.341","7.268","7.424","7.212","1.28%"
"01-07-2018","7.248","7.277","7.960","7.174","3.26%"
"01-06-2018","7.019","7.227","7.277","6.963","-0.72%"
"01-05-2018","7.070","6.911","7.279","6.785","4.19%"
"01-04-2018","6.786","6.525","7.270","6.453","3.40%"
"01-03-2018","6.563","6.647","6.780","6.526","-1.34%"
"01-02-2018","6.652","6.713","6.869","6.602","0.02%"
"01-01-2018","6.651","6.562","6.905","6.561","0.76%"
"01-12-2017","6.601","6.386","7.003","6.343","3.97%"
"01-11-2017","6.349","6.308","6.942","6.268","1.44%"
"01-10-2017","6.259","6.313","6.374","6.203","3.32%"
"01-09-2017","6.058","6.308","6.463","6.050","-3.72%"
"01-08-2017","6.292","6.323","6.419","6.203","-0.11%"
"01-07-2017","6.299","6.496","6.554","6.290","-1.70%"
"01-06-2017","6.408","6.551","6.552","6.347","-1.85%"
"01-05-2017","6.529","6.540","6.605","6.371","2.00%"
"01-04-2017","6.401","6.251","6.596","6.251","2.60%"
"01-03-2017","6.239","6.434","6.487","6.204","-1.36%"
"01-02-2017","6.325","6.262","6.764","6.192","1.10%"
"01-01-2017","6.256","6.347","6.353","6.237","-1.11%"
"01-12-2016","6.326","6.063","6.506","6.009","4.79%"
"01-11-2016","6.037","6.574","6.620","5.921","-8.67%"
"01-10-2016","6.610","6.639","6.837","6.514","-0.32%"
"01-09-2016","6.631","6.836","6.838","6.597","-2.33%"
"01-08-2016","6.789","6.848","6.906","6.761","-0.47%"
"01-07-2016","6.821","6.962","6.962","6.811","-2.11%"
"01-06-2016","6.968","7.036","7.097","6.955","-0.74%"
"01-05-2016","7.020","7.064","7.151","7.015","0.29%"
"01-04-2016","7.000","7.016","7.171","6.974","-2.78%"
"01-03-2016","7.200","7.308","7.480","7.017","-0.85%"
"01-02-2016","7.262","7.222","7.478","7.202","0.58%"
"01-01-2016","7.220","7.303","7.372","7.174","-1.08%"
"01-12-2015","7.299","7.292","7.330","7.174","0.72%"
"01-11-2015","7.247","7.212","7.431","7.186","0.68%"
"01-10-2015","7.198","7.284","7.365","7.153","0.17%"
"01-09-2015","7.186","7.455","7.524","7.185","-3.17%"
"01-08-2015","7.421","7.603","7.631","7.418","-2.18%"
"01-07-2015","7.586","7.707","7.766","7.498","-1.19%"
"01-06-2015","7.677","7.729","7.895","7.525","-0.66%"
"01-05-2015","7.728","7.926","8.029","7.725","-1.75%"
"01-04-2015","7.866","7.877","8.078","7.776","0.88%"
"01-03-2015","7.797","7.957","8.056","7.797","-0.98%"
"01-02-2015","7.874","8.060","8.174","7.796","-2.26%"
"01-01-2015","8.056","8.168","8.378","7.905","-0.57%"
"01-12-2014","8.102","8.234","8.368","8.006","-1.73%"
"01-11-2014","8.245","8.301","8.351","8.225","-1.35%"
"01-10-2014","8.358","8.614","8.660","8.342","-3.93%"
"01-09-2014","8.700","8.709","8.724","8.307","0.74%"
"01-08-2014","8.636","8.689","8.928","8.501","5.19%"
"01-07-2014","8.210","8.290","8.748","8.157","-0.93%"
"01-06-2014","8.287","8.312","8.550","8.032","-0.01%"
"01-05-2014","8.288","8.605","8.666","8.288","-3.46%"
"01-04-2014","8.585","8.770","8.977","8.509","1.06%"
"01-03-2014","8.495","9.117","9.254","8.495","-5.26%"
"01-02-2014","8.967","8.830","9.205","8.734","1.60%"
"01-01-2014","8.826","8.550","8.835","8.462","-1.69%"
"01-12-2013","8.978","8.963","9.203","8.844","0.08%"
"01-11-2013","8.971","8.879","9.109","8.694","1.45%"
"01-10-2013","8.843","9.058","9.130","8.630","-3.02%"
"01-09-2013","9.118","10.191","10.191","9.118","-10.87%"
"01-08-2013","10.230","9.075","10.666","9.075","12.07%"
"01-07-2013","9.128","7.561","9.128","7.521","21.58%"
"01-06-2013","7.508","7.246","7.733","7.245","3.44%"
"01-05-2013","7.258","7.474","7.474","7.165","-3.33%"
"01-04-2013","7.508","7.744","7.744","7.496","-4.04%"
"01-03-2013","7.824","7.853","7.976","7.786","-0.32%"
"01-02-2013","7.849","7.844","7.970","7.789","0.22%"
"01-01-2013","7.832","8.058","8.069","7.832","-1.43%"
"01-12-2012","7.946","8.032","8.663","7.945","-1.03%"
"01-11-2012","8.029","7.868","8.109","7.835","1.58%"
"01-10-2012","7.904","8.182","8.182","7.804","0.18%"
"01-09-2012","7.890","7.886","8.170","7.874","-0.06%"
"01-08-2012","7.895","8.241","8.241","7.867","-2.30%"
"01-07-2012","8.081","7.996","8.091","7.828","1.06%"
"01-06-2012","7.996","7.993","8.116","7.797","0.20%"
"01-05-2012","7.980","8.104","8.822","7.918","0.71%"
"01-04-2012","7.924","8.332","8.338","7.767","-1.71%"
"01-03-2012","8.062","8.773","8.773","8.062","-8.54%"
"01-02-2012","8.815","8.545","8.815","8.323","2.92%"
"01-01-2012","8.565","8.254","8.585","8.224","0.07%"
"01-12-2011","8.559","8.685","8.685","8.309","-1.33%"
"01-11-2011","8.674","8.707","8.941","8.475","-0.05%"
"01-10-2011","8.678","8.426","8.740","8.395","4.84%"
"01-09-2011","8.277","8.246","8.434","8.229","0.13%"
"01-08-2011","8.266","8.352","8.419","8.124","-1.33%"
"01-07-2011","8.377","8.115","8.377","8.041","3.23%"
"01-06-2011","8.115","8.287","8.287","8.033","-2.18%"
"01-05-2011","8.296","7.887","8.296","7.856","4.92%"
"01-04-2011","7.907","7.529","7.907","7.471","5.02%"
"01-03-2011","7.529","7.522","7.610","7.481","0.33%"
"01-02-2011","7.504","7.564","7.635","7.473","-0.68%"
"01-01-2011","7.555","7.478","7.721","7.264","0.87%"
"01-12-2010","7.490","7.267","7.582","7.204","2.94%"
"01-11-2010","7.276","6.897","7.500","6.599","5.36%"
"01-10-2010","6.906","6.512","7.124","6.512","5.99%"
"01-09-2010","6.516","6.516","6.516","6.516","2.37%"
"01-08-2010","6.365","6.365","6.365","6.365","1.19%"
"01-07-2010","6.290","6.290","6.290","6.290","18.14%"
"01-06-2010","5.324","5.324","5.324","5.324","5.82%"
"01-05-2010","5.031","5.031","5.031","5.031","3.52%"
"01-04-2010","4.860","4.860","4.860","4.860","-5.80%"
"01-03-2010","5.159","5.159","5.159","5.159","2.48%"
"01-02-2010","5.034","5.034","5.034","5.034","5.71%"
"01-01-2010","4.762","4.762","4.762","4.762","-9.95%"
"01-12-2009","5.288","5.288","5.288","5.288","4.18%"
"01-11-2009","5.076","5.076","5.076","5.076","18.85%"
"01-10-2009","4.271","4.271","4.271","4.271","-4.58%"
"01-09-2009","4.476","4.476","4.476","4.476","-5.83%"
"01-08-2009","4.753","4.753","4.753","4.753","13.63%"
"01-07-2009","4.183","4.183","4.183","4.183","-1.04%"
"01-06-2009","4.227","4.227","4.227","4.227","6.13%"
"01-05-2009","3.983","3.983","3.983","3.983","0.66%"
"01-04-2009","3.957","3.957","3.957","3.957","-19.23%"
"01-03-2009","4.899","4.899","4.899","4.899","4.57%"
"01-02-2009","4.685","4.685","4.685","4.685","1.30%"
"01-01-2009","4.625","4.625","4.625","4.625","-4.36%"
"01-12-2008","4.836","4.836","4.836","4.836","-32.79%"
"01-11-2008","7.195","7.195","7.195","7.195","-4.32%"
"01-10-2008","7.520","7.520","7.520","7.520","-15.70%"
"01-09-2008","8.920","8.920","8.920","8.920","-2.50%"
"01-08-2008","9.149","9.149","9.149","9.149","-3.01%"
"01-07-2008","9.433","9.433","9.433","9.433","2.25%"
"01-06-2008","9.225","9.225","9.225","9.225","16.89%"
"01-05-2008","7.892","7.892","7.892","7.892","1.61%"
"01-04-2008","7.767","7.767","7.767","7.767","2.68%"
"01-03-2008","7.564","7.564","7.564","7.564","0.80%"
"01-02-2008","7.504","7.504","7.504","7.504","0.41%"
"01-01-2008","7.473","7.473","7.473","7.473","-3.35%"
"01-12-2007","7.732","7.732","7.732","7.732","2.22%"
"01-11-2007","7.564","7.564","7.564","7.564","4.26%"
"01-10-2007","7.255","7.255","7.255","7.255","2.24%"
"01-09-2007","7.096","7.096","7.096","7.096","-1.21%"
"01-08-2007","7.183","7.183","7.183","7.183","2.44%"
"01-07-2007","7.012","7.012","7.012","7.012","-6.98%"
"01-06-2007","7.538","7.538","7.538","7.538","-1.12%"
"01-05-2007","7.623","7.623","7.623","7.623","-5.21%"
"01-04-2007","8.042","8.042","8.042","8.042","4.52%"
"01-03-2007","7.694","7.694","7.694","7.694","0.56%"
"01-02-2007","7.651","7.651","7.651","7.651","5.60%"
"01-01-2007","7.245","7.245","7.245","7.245","-1.01%"
"01-12-2006","7.319","7.319","7.319","7.319","4.87%"
"01-11-2006","6.979","6.979","6.979","6.979","-1.33%"
"01-10-2006","7.073","7.073","7.073","7.073","4.37%"
"01-09-2006","6.777","6.777","6.777","6.777","-0.62%"
"01-08-2006","6.819","6.819","6.819","6.819","-0.84%"
"01-07-2006","6.877","6.877","6.877","6.877","-2.36%"
"01-06-2006","7.043","7.043","7.043","7.043","8.94%"
"01-05-2006","6.465","6.465","6.465","6.465","2.41%"
"01-04-2006","6.313","6.313","6.313","6.313","-3.43%"
"01-03-2006","6.537","6.537","6.537","6.537","-4.44%"
"01-02-2006","6.841","6.841","6.841","6.841","0.99%"
"01-01-2006","6.774","6.774","6.774","6.774","8.49%"
"01-12-2005","6.244","6.244","6.244","6.244","5.26%"
"01-11-2005","5.932","5.932","5.932","5.932","2.15%"
"01-10-2005","5.807","5.807","5.807","5.807","1.34%"
"01-09-2005","5.730","5.730","5.730","5.730","1.24%"
"01-08-2005","5.660","5.660","5.660","5.660","-1.22%"
"01-07-2005","5.730","5.730","5.730","5.730","-0.97%"
"01-06-2005","5.786","5.786","5.786","5.786","1.35%"
"01-05-2005","5.709","5.709","5.709","5.709","-1.38%"
"01-04-2005","5.789","5.789","5.789","5.789","2.22%"
"01-03-2005","5.663","5.663","5.663","5.663","-2.96%"
"01-02-2005","5.836","5.836","5.836","5.836","2.10%"
"01-01-2005","5.716","5.716","5.716","5.716","-0.68%"
"01-12-2004","5.755","5.755","5.755","5.755","0.95%"
"01-11-2004","5.701","5.701","5.701","5.701","0.49%"
"01-10-2004","5.673","5.673","5.673","5.673","7.12%"
"01-09-2004","5.296","5.296","5.296","5.296","2.56%"
"01-08-2004","5.164","5.164","5.164","5.164","7.36%"
"01-07-2004","4.810","4.810","4.810","4.810","2.17%"
"01-06-2004","4.708","4.708","4.708","4.708","3.40%"
"01-05-2004","4.553","4.553","4.553","4.553","0.11%"
"01-04-2004","4.548","4.548","4.548","4.548","2.73%"
"01-03-2004","4.427","4.427","4.427","4.427","-0.83%"
"01-02-2004","4.464","4.464","4.464","4.464","-0.82%"
"01-01-2004","4.501","4.501","4.501","4.501","0.38%"
"01-12-2003","4.484","4.484","4.484","4.484","6.89%"
"01-11-2003","4.195","4.195","4.195","4.195","-8.51%"
"01-10-2003","4.585","4.585","4.585","4.585","-0.65%"
"01-09-2003","4.615","4.615","4.615","4.615","-0.04%"
"01-08-2003","4.617","4.617","4.617","4.617","-3.51%"
"01-07-2003","4.785","4.785","4.785","4.785","-5.97%"
"01-06-2003","5.089","5.089","5.089","5.089","3.50%"
"01-05-2003","4.917","4.917","4.917","4.917","-1.42%"
"01-04-2003","4.988","4.988","4.988","4.988","-11.06%"
"01-03-2003","5.608","5.608","5.608","5.608","2.86%"
"01-02-2003","5.452","5.452","5.452","5.452","-5.45%"
"01-01-2003","5.766","5.766","5.766","5.766","2.23%"
"01-12-2002","5.640","5.640","5.640","5.640","7.74%"
"01-11-2002","5.235","5.235","5.235","5.235","-7.03%"
"01-10-2002","5.631","5.631","5.631","5.631","-2.17%"
"01-09-2002","5.756","5.756","5.756","5.756","-2.31%"
"01-08-2002","5.892","5.892","5.892","5.892","-2.95%"
"01-07-2002","6.071","6.071","6.071","6.071","-2.32%"
"01-06-2002","6.215","6.215","6.215","6.215","-7.88%"
"01-05-2002","6.747","6.747","6.747","6.747","7.68%"
"01-04-2002","6.266","6.266","6.266","6.266","3.69%"
"01-03-2002","6.043","6.043","6.043","6.043","-6.60%"
"01-02-2002","6.470","6.470","6.470","6.470","-1.87%"
"01-01-2002","6.593","6.593","6.593","6.593","-5.73%"
"01-12-2001","6.994","6.994","6.994","6.994","3.46%"
"01-11-2001","6.760","6.760","6.760","6.760","-1.07%"
"01-10-2001","6.833","6.833","6.833","6.833","-6.42%"
"01-09-2001","7.302","7.302","7.302","7.302","3.55%"
"01-08-2001","7.052","7.052","7.052","7.052","-3.48%"
"01-07-2001","7.306","7.306","7.306","7.306","-8.31%"
"01-06-2001","7.968","7.968","7.968","7.968","-4.93%"
"01-05-2001","8.381","8.381","8.381","8.381","-5.41%"
"01-04-2001","8.860","8.860","8.860","8.860","-1.88%"
"01-03-2001","9.030","9.030","9.030","9.030","-0.63%"
"01-02-2001","9.087","9.087","9.087","9.087","-5.62%"
"01-01-2001","9.628","9.628","9.628","9.628","-4.53%"
"01-12-2000","10.085","10.085","10.085","10.085","-0.81%"
"01-11-2000","10.167","10.167","10.167","10.167","-1.70%"
"01-10-2000","10.343","10.343","10.343","10.343","-2.94%"
"01-09-2000","10.656","10.656","10.656","10.656","-1.58%"
"01-08-2000","10.827","10.827","10.827","10.827","6.16%"
"01-07-2000","10.199","10.199","10.199","10.199","5.66%"
"01-06-2000","9.653","9.653","9.653","9.653","2.53%"
"01-05-2000","9.415","9.415","9.415","9.415","3.59%"
"01-04-2000","9.089","9.089","9.089","9.089","-11.53%"
"01-03-2000","10.273","10.273","10.273","10.273","5.89%"
"01-02-2000","9.702","9.702","9.702","9.702","-2.89%"
"01-01-2000","9.991","9.991","9.991","9.991","-0.78%"
"01-12-1999","10.070","10.070","10.070","10.070","-2.63%"
"01-11-1999","10.342","10.342","10.342","10.342","-1.15%"
"01-10-1999","10.462","10.462","10.462","10.462","-0.70%"
"01-09-1999","10.536","10.536","10.536","10.536","2.22%"
"01-08-1999","10.307","10.307","10.307","10.307","-0.88%"
"01-07-1999","10.398","10.398","10.398","10.398","-3.86%"
"01-06-1999","10.815","10.815","10.815","10.815","1.06%"
"01-05-1999","10.702","10.702","10.702","10.702","0.33%"
"01-04-1999","10.667","10.667","10.667","10.667","-1.81%"
"01-03-1999","10.864","10.864","10.864","10.864","2.61%"
"01-02-1999","10.588","10.588","10.588","10.588","1.62%"